id_contrato,dt_contratacao,vr_financiado,vr_entrada,tx_juros_anual,prazo_meses,faixa_renda,uf,tipo_imovel,programa_social,score_credito_contratacao,ltv,fl_ever_inadimplente,qtd_meses_observados,max_dias_atraso,primeiro_mes_observado,ultimo_mes_observado
1,2022-01-01,324632.9,59841.03,9.86,240,3 a 6 SM,DF,Novo,Livre,737,84.44,1,35,140,2022-02-01,2024-12-01
2,2022-01-01,318125.78,132286.64,9.47,240,Acima de 10 SM,PA,Usado,FGTS,801,70.63,0,35,60,2022-02-01,2024-12-01
3,2022-01-01,331881.9,124846.24,7.98,360,Acima de 10 SM,PR,Usado,FGTS,814,72.67,1,35,121,2022-02-01,2024-12-01
4,2022-01-01,134318.01,28375.09,5.79,360,3 a 6 SM,MS,Usado,MCMV,624,82.56,1,35,180,2022-02-01,2024-12-01
5,2022-01-01,388430.1,85697.76,9.59,180,6 a 10 SM,AM,Usado,Livre,756,81.93,0,35,53,2022-02-01,2024-12-01
6,2022-01-01,164952.84,28489.66,8.74,180,Até 3 SM,RJ,Novo,FGTS,508,85.27,1,35,139,2022-02-01,2024-12-01
7,2022-01-01,148158.19,26115.39,5.48,240,Até 3 SM,RR,Usado,MCMV,597,85.01,1,35,176,2022-02-01,2024-12-01
8,2022-01-01,313674.91,68625.67,7.64,180,6 a 10 SM,RN,Usado,FGTS,678,82.05,1,35,148,2022-02-01,2024-12-01
9,2022-01-01,105359.29,11765.59,8.45,180,Até 3 SM,DF,Usado,FGTS,606,89.95,1,35,148,2022-02-01,2024-12-01
10,2022-01-01,230806.93,32051.06,9.96,300,3 a 6 SM,SP,Usado,Livre,734,87.81,1,35,118,2022-02-01,2024-12-01
11,2022-01-01,250000.0,75677.79,10.88,180,6 a 10 SM,SC,Novo,Livre,543,76.76,0,35,83,2022-02-01,2024-12-01
12,2022-01-01,200000.0,42922.31,11.16,180,3 a 6 SM,SP,Novo,Livre,547,82.33,1,35,153,2022-02-01,2024-12-01
13,2022-01-01,120915.19,28361.71,5.18,180,3 a 6 SM,PA,Usado,MCMV,586,81.0,1,35,148,2022-02-01,2024-12-01
14,2022-01-01,200000.0,38357.36,11.53,240,3 a 6 SM,RJ,Novo,Livre,563,83.91,0,35,90,2022-02-01,2024-12-01
15,2022-01-02,139177.33,32951.27,8.38,180,3 a 6 SM,SE,Novo,FGTS,681,80.86,1,35,157,2022-02-01,2024-12-01
16,2022-01-02,82615.11,16818.91,5.63,360,3 a 6 SM,SP,Usado,MCMV,568,83.09,1,35,121,2022-02-01,2024-12-01
17,2022-01-02,234767.8,74300.15,9.09,360,6 a 10 SM,SP,Usado,FGTS,559,75.96,0,35,74,2022-02-01,2024-12-01
18,2022-01-02,152994.01,38073.78,5.71,360,3 a 6 SM,BA,Novo,MCMV,649,80.07,1,35,152,2022-02-01,2024-12-01
19,2022-01-02,94720.41,13441.9,4.48,300,Até 3 SM,PB,Novo,MCMV,693,87.57,1,35,143,2022-02-01,2024-12-01
20,2022-01-02,187055.83,64050.06,7.73,240,Acima de 10 SM,SP,Usado,FGTS,673,74.49,0,35,56,2022-02-01,2024-12-01
21,2022-01-02,236746.8,35989.63,8.5,300,3 a 6 SM,MS,Usado,FGTS,628,86.8,1,35,139,2022-02-01,2024-12-01
22,2022-01-02,224153.29,64423.89,8.02,240,6 a 10 SM,MG,Usado,FGTS,614,77.68,1,35,133,2022-02-01,2024-12-01
23,2022-01-02,148205.83,19319.21,6.79,360,Até 3 SM,MG,Novo,MCMV,705,88.47,1,35,108,2022-02-01,2024-12-01
24,2022-01-02,146723.98,16715.4,4.27,360,Até 3 SM,MG,Novo,MCMV,454,89.77,1,35,178,2022-02-01,2024-12-01
25,2022-01-02,89388.67,18870.1,4.84,360,3 a 6 SM,MT,Novo,MCMV,577,82.57,1,35,123,2022-02-01,2024-12-01
26,2022-01-02,135737.17,22734.42,5.96,360,Até 3 SM,DF,Novo,MCMV,606,85.65,0,35,43,2022-02-01,2024-12-01
27,2022-01-02,97923.12,11244.69,6.3,180,Até 3 SM,SP,Usado,MCMV,631,89.7,1,35,141,2022-02-01,2024-12-01
28,2022-01-03,233246.82,60473.49,8.38,300,6 a 10 SM,MG,Novo,FGTS,716,79.41,0,35,87,2022-02-01,2024-12-01
29,2022-01-03,200000.0,47464.51,9.57,120,3 a 6 SM,SP,Novo,Livre,729,80.82,1,35,100,2022-02-01,2024-12-01
30,2022-01-03,314906.63,77866.46,9.71,360,6 a 10 SM,AL,Novo,Livre,900,80.18,0,35,85,2022-02-01,2024-12-01
31,2022-01-03,172188.56,35766.87,4.21,360,3 a 6 SM,BA,Novo,MCMV,492,82.8,1,35,145,2022-02-01,2024-12-01
32,2022-01-03,384430.23,126980.35,7.86,240,6 a 10 SM,SP,Usado,FGTS,657,75.17,1,35,150,2022-02-01,2024-12-01
33,2022-01-03,120513.56,19928.96,5.63,240,Até 3 SM,PB,Novo,MCMV,515,85.81,1,35,93,2022-02-01,2024-12-01
34,2022-01-03,175239.56,22377.97,9.11,240,Até 3 SM,RJ,Novo,FGTS,548,88.68,1,35,148,2022-02-01,2024-12-01
35,2022-01-03,200000.0,28747.85,11.36,360,3 a 6 SM,RS,Novo,Livre,730,87.43,0,35,83,2022-02-01,2024-12-01
36,2022-01-04,190915.08,39796.91,8.18,360,6 a 10 SM,SE,Novo,FGTS,610,82.75,0,35,77,2022-02-01,2024-12-01
37,2022-01-04,88160.67,10285.8,5.68,300,Até 3 SM,BA,Usado,MCMV,509,89.55,1,35,103,2022-02-01,2024-12-01
38,2022-01-04,230772.7,33870.77,8.51,300,3 a 6 SM,RJ,Novo,Livre,574,87.2,1,35,133,2022-02-01,2024-12-01
39,2022-01-04,152777.35,49566.55,7.43,300,6 a 10 SM,GO,Novo,FGTS,734,75.5,0,35,68,2022-02-01,2024-12-01
40,2022-01-04,168067.6,20425.2,7.18,180,Até 3 SM,SE,Novo,FGTS,304,89.16,1,35,173,2022-02-01,2024-12-01
41,2022-01-04,203053.01,42673.78,11.76,360,3 a 6 SM,SP,Novo,Livre,744,82.63,1,35,164,2022-02-01,2024-12-01
42,2022-01-04,336002.01,112452.09,11.95,300,Acima de 10 SM,SP,Usado,Livre,742,74.92,0,35,54,2022-02-01,2024-12-01
43,2022-01-04,126564.19,30908.21,4.59,300,3 a 6 SM,MT,Usado,MCMV,604,80.37,0,35,53,2022-02-01,2024-12-01
