id_contrato,dt_contratacao,vr_financiado,vr_entrada,tx_juros_anual,prazo_meses,faixa_renda,uf,tipo_imovel,programa_social,score_credito_contratacao,ltv,fl_ever_inadimplente,primeiro_mes_observado,ultimo_mes_observado,qtd_meses_observados,max_dias_atraso,regiao,score_100,ltv_10pp,prazo_5anos,log_vr_financiado
1,2022-01-01,324632.9,59841.03,9.86,240,3 a 6 SM,DF,Novo,Livre,737,84.44,1,2022-02-01,2024-12-01,35,140,Centro-Oeste,7.37,8.443999999999999,4.0,12.690450284440985
2,2022-01-01,318125.78,132286.64,9.47,240,Acima de 10 SM,PA,Usado,FGTS,801,70.63,0,2022-02-01,2024-12-01,35,60,Norte,8.01,7.063,4.0,12.670202118150323
3,2022-01-01,331881.9,124846.24,7.98,360,Acima de 10 SM,PR,Usado,FGTS,814,72.67,1,2022-02-01,2024-12-01,35,121,Sul,8.14,7.267,6.0,12.712534461722663
4,2022-01-01,134318.01,28375.09,5.79,360,3 a 6 SM,MS,Usado,MCMV,624,82.56,1,2022-02-01,2024-12-01,35,180,Centro-Oeste,6.24,8.256,6.0,11.807965476275385
5,2022-01-01,388430.1,85697.76,9.59,180,6 a 10 SM,AM,Usado,Livre,756,81.93,0,2022-02-01,2024-12-01,35,53,Norte,7.56,8.193000000000001,3.0,12.86986850982187
6,2022-01-01,164952.84,28489.66,8.74,180,Até 3 SM,RJ,Novo,FGTS,508,85.27,1,2022-02-01,2024-12-01,35,139,Sudeste,5.08,8.527,3.0,12.013414893847099
7,2022-01-01,148158.19,26115.39,5.48,240,Até 3 SM,RR,Usado,MCMV,597,85.01,1,2022-02-01,2024-12-01,35,176,Norte,5.97,8.501000000000001,4.0,11.906035833282706
8,2022-01-01,313674.91,68625.67,7.64,180,6 a 10 SM,RN,Usado,FGTS,678,82.05,1,2022-02-01,2024-12-01,35,148,Nordeste,6.78,8.205,3.0,12.656112410106683
9,2022-01-01,105359.29,11765.59,8.45,180,Até 3 SM,DF,Usado,FGTS,606,89.95,1,2022-02-01,2024-12-01,35,148,Centro-Oeste,6.06,8.995000000000001,3.0,11.565131597594153
10,2022-01-01,230806.93,32051.06,9.96,300,3 a 6 SM,SP,Usado,Livre,734,87.81,1,2022-02-01,2024-12-01,35,118,Sudeste,7.34,8.781,5.0,12.349336839161843
