group,factor,marginal_effect_pp,base_probability_pct,scenario_probability_pct
Renda,Renda Até 3 SM vs. >10 SM,11.255988293082202,46.14299757972623,57.398985872808424
Renda,Renda 3 a 6 SM vs. >10 SM,6.007346152694909,46.14299757972623,52.150343732421135
Originação,LTV +10 p.p.,5.035868474763094,52.59999999999978,57.63586847476287
Originação,Score -100 pontos,2.710834900158865,52.59999999999978,55.310834900158646
Renda,Renda 6 a 10 SM vs. >10 SM,2.204683116384448,46.14299757972623,48.34768069611067
Originação,Taxa juros +1 p.p.,1.6266342140928924,52.59999999999978,54.22663421409267
Programa,Programa MCMV vs. Livre,1.4450416434287017,51.59285356837481,53.03789521180351
Programa,Programa FGTS vs. Livre,1.0405589488541422,51.59285356837481,52.63341251722895
Originação,Prazo +5 anos,0.12637094776642988,52.59999999999978,52.72637094776621
Originação,Valor financiado 2x,-1.9978512857450337,52.59999999999978,50.602148714254746
