dt_referencia,contratos_ativos,parcelas_observadas,contratos_inadimplentes,taxa_inadimplencia,dias_atraso_medio,saldo_devedor_total,selic_12m,ipca_12m,tx_desemprego_12m,rendimento_medio,confianca_consumidor
2022-02-01,351,351,11,0.03133903133903134,9.549857549857549,70319080.06,10.74,9.74,11.71,2791.08,85.8
2022-03-01,682,682,28,0.04105571847507331,10.211143695014663,136458769.99,11.78,9.76,10.86,2766.77,84.81
2022-04-01,1000,1000,46,0.046,10.827,199194808.53,12.83,10.04,11.05,2817.18,85.73
2022-05-01,1299,1299,50,0.03849114703618168,10.491916859122401,259905268.65,13.24,10.04,10.61,2831.49,88.41
2022-06-01,1610,1610,84,0.05217391304347826,12.254037267080745,322369588.47,13.24,9.69,10.33,2892.12,87.04
2022-07-01,1942,1942,99,0.0509783728115345,12.598352214212152,388683893.36,13.83,9.44,10.06,2851.58,85.45
2022-08-01,2248,2248,113,0.050266903914590745,12.526690391459075,452429187.51,13.79,9.21,9.52,2874.03,84.17
2022-09-01,2553,2553,130,0.0509204857030944,12.666274970622796,509889484.72,13.73,8.69,9.76,2879.88,81.87
2022-10-01,2881,2881,142,0.04928844151336342,11.902464422075669,574490709.02,13.78,8.74,9.92,2869.77,83.53
2022-11-01,3190,3190,159,0.049843260188087775,11.851097178683386,634985568.65,13.73,8.65,10.06,2928.57,85.03
2022-12-01,3516,3516,174,0.04948805460750853,11.749146757679181,700894012.48,13.73,8.93,9.84,2933.32,85.81
2023-01-01,3808,3808,212,0.05567226890756303,12.548319327731093,758309363.34,13.76,8.55,9.87,2946.68,92.37
2023-02-01,4244,4244,224,0.0527803958529689,12.201225259189444,841523052.26,13.65,7.74,9.89,2925.24,92.77
2023-03-01,4678,4678,237,0.0506626763574177,12.212483967507481,928225237.3,13.16,8.2,9.88,2984.06,92.02
2023-04-01,5097,5097,284,0.055719050421816754,12.720227584853836,1010473070.73,13.22,7.81,9.46,2940.53,95.46
2023-05-01,5513,5513,267,0.048430981316887355,11.540721929983675,1092347904.89,12.7,7.55,9.01,2992.88,92.57
2023-06-01,5944,5944,289,0.04862045760430687,11.669582772543741,1172298316.98,13.27,7.77,8.94,3037.52,93.96
2023-07-01,6339,6339,333,0.05253194510175106,12.448020192459378,1254513373.03,13.2,7.72,8.55,2986.47,92.96
2023-08-01,6803,6803,332,0.04880199911803616,11.917242393061885,1347272232.76,13.18,7.52,8.46,3007.53,88.73
2023-09-01,7195,7195,373,0.05184155663655316,11.892425295343989,1422815749.71,12.82,6.82,8.18,3033.42,90.97
2023-10-01,7620,7620,389,0.0510498687664042,12.094356955380578,1501716364.79,12.24,6.81,8.31,3033.93,90.81
2023-11-01,8096,8096,433,0.053483201581027665,12.431200592885375,1591369489.22,11.75,6.83,8.28,3025.56,93.17
2023-12-01,8545,8545,452,0.05289643066120538,12.362785254534815,1680643637.42,11.68,6.85,8.19,3070.51,97.27
2024-01-01,8997,8997,442,0.04912748694009114,11.87295765255085,1769717657.71,11.72,6.24,8.53,3060.47,96.75
2024-02-01,9550,9550,434,0.045445026178010474,11.377277486910994,1879751048.34,11.26,6.16,8.5,3103.76,98.28
2024-03-01,10000,10000,487,0.0487,12.0772,1971491319.03,11.19,5.71,8.23,3088.47,99.49
2024-04-01,10000,10000,466,0.0466,11.6644,1969083131.9,10.77,5.51,7.87,3150.43,99.88
2024-05-01,10000,10000,500,0.05,11.7512,1966707622.4,10.47,5.94,7.37,3116.33,100.24
2024-06-01,10000,10000,521,0.0521,12.1498,1964380666.08,10.49,5.94,7.29,3138.13,99.44
2024-07-01,10000,10000,517,0.0517,11.9893,1962042346.53,10.47,5.34,6.98,3173.41,97.82
2024-08-01,10000,10000,527,0.0527,12.3654,1959699646.66,10.84,5.49,6.68,3145.1,97.62
2024-09-01,10000,10000,523,0.0523,12.4338,1957328078.52,10.75,5.12,6.75,3186.83,96.31
2024-10-01,10000,10000,497,0.0497,11.8634,1954894478.1,10.95,4.65,6.91,3221.0,99.52
2024-11-01,10000,10000,546,0.0546,12.6574,1952545706.78,11.29,4.78,7.11,3175.28,98.98
2024-12-01,10000,10000,500,0.05,12.1065,1950121505.65,11.19,4.96,6.93,3223.69,106.08
